ticker,usable_rebalancing_dates,first_forecast,last_forecast,expected_rebalancing_dates,coverage_ratio,complete,selected
ABBN.SW,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
AD.AS,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
AI.PA,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
AIR.PA,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
ALV.DE,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
ASML.AS,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
BAS.DE,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
BBVA.MC,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
BMW.DE,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
BNP.PA,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
CAC.PA,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
CAP.PA,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
CFR.SW,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
DTE.DE,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
ENEL.MI,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
ENG.MC,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
ENI.MI,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
EWI,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
EWL,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
EWN,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
EWP,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
EXH7.DE,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
EXH8.DE,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
EXS1.DE,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
EXSA.DE,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
EXV1.DE,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
EXV2.DE,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
EXV3.DE,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
EXV4.DE,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
EXV6.DE,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
EXV7.DE,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
HEIA.AS,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
HOLN.SW,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
IBE.MC,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
INGA.AS,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
ISP.MI,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
ITX.MC,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
MBG.DE,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
MC.PA,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
MUV2.DE,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
NESN.SW,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
NOVN.SW,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
OR.PA,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
PHIA.AS,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
RO.SW,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
SAN.MC,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
SAN.PA,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
SAP.DE,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
SIE.DE,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
STMMI.MI,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
SU.PA,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
TEF.MC,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
TTE.PA,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
UBSG.SW,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
UCG.MI,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
VOW3.DE,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
WKL.AS,83,2019-01-31,2025-11-28,84,0.9880952380952381,True,True
